fighter,streak
Anderson Silva,10
Demetrious Johnson,10
Georges St-Pierre,9
Jose Aldo,9
Jon Jones,8
Ronda Rousey,7
Matt Hughes,5
Joanna Jedrzejczyk,5
Tito Ortiz,5
Liddell/Miletich/F Shamrock/Barao,4
