index,reach,reach.dif,result
1,77,7,loss
2,74,10,win
3,75,9,win
4,77,7,win
5,72,12,loss
6,81,3,win
7,81,3,win
8,79,5,loss
9,74,10,win
10,76,8,win
11,82,2,win
12,80,4,win
13,72,12,loss
14,80,4,loss
15,77,7,win
16,75,9,loss
17,80,4,win
18,74,10,win
